,mean,mean_se,mean_ci_lower,mean_ci_upper
2024-02-01,5.20943355079384,0.017733942765797178,5.174675661668982,5.244191439918697
2024-02-02,5.209404226841379,0.02459869263851838,5.161191675203112,5.257616778479646
2024-02-05,5.209405362602145,0.029943385827734936,5.150717404804597,5.268093320399693
2024-02-06,5.209405318612423,0.03446856316055323,5.141848176218894,5.276962461005952
2024-02-07,5.209405320316211,0.03846503217935298,5.134015242580505,5.284795398051918
2024-02-08,5.209405320250221,0.04208367262948332,5.12692283755926,5.291887802941183
2024-02-09,5.2094053202527775,0.04541489078987846,5.120393769942796,5.298416870562759
2024-02-12,5.209405320252679,0.048517925644533444,5.114311933384801,5.3044987071205565
2024-02-13,5.209405320252682,0.05143409289803244,5.108596350595051,5.310214289910314
2024-02-14,5.209405320252682,0.05419356710568394,5.103187880531787,5.315622759973578
2024-02-15,5.209405320252682,0.05681918266776731,5.098041768592856,5.320768871912509
2024-02-16,5.209405320252682,0.05932871414777123,5.093123177273979,5.325687463231386
2024-02-20,5.209405320252682,0.06173631934139572,5.088404357805484,5.330406282699881
2024-02-21,5.209405320252682,0.06405349271677253,5.08386278144381,5.334947859061555
2024-02-22,5.209405320252682,0.06628971815155404,5.079479860130325,5.33933078037504
2024-02-23,5.209405320252682,0.0684529293456994,5.075240044098846,5.3435705964065185
2024-02-26,5.209405320252682,0.07054984294385179,5.071130168967776,5.347680471537589
2024-02-27,5.209405320252682,0.07258620490697247,5.067138972860572,5.351671667644793
2024-02-28,5.209405320252682,0.07456697624412456,5.063256732378145,5.35555390812722
2024-02-29,5.209405320252682,0.07649647540630011,5.0594749835120805,5.359335656993284
2024-03-01,5.209405320252682,0.07837848909606206,5.055786304461735,5.36302433604363
2024-03-04,5.209405320252682,0.08021635965547401,5.052184144357041,5.366626496148323
2024-03-05,5.209405320252682,0.08201305481306741,5.048662686556961,5.370147953948404
2024-03-06,5.209405320252682,0.08377122395647589,5.0452167383571505,5.373593902148214
2024-03-07,5.209405320252682,0.08549324398197135,5.041841641126523,5.376968999378842
2024-03-08,5.209405320252682,0.0871812569877019,5.038533196429856,5.380277444075509
2024-03-11,5.209405320252682,0.08883720151687896,5.0352876047922726,5.383523035713092
2024-03-12,5.209405320252682,0.0904628386507156,5.032101414558022,5.386709225947343
2024-03-13,5.209405320252682,0.09205977395225476,5.028971478881364,5.389839161624001
2024-03-14,5.209405320252682,0.09362947604005421,5.025894919322821,5.392915721182544
2024-03-15,5.209405320252682,0.09517329240354105,5.022869094851642,5.395941545653723
2024-03-18,5.209405320252682,0.09669246294476508,5.019891575304469,5.398919065200896
2024-03-19,5.209405320252682,0.0981881316337143,5.016960118541324,5.4018505219640405
2024-03-20,5.209405320252682,0.0996613565887724,5.014072650688285,5.40473798981708
2024-03-21,5.209405320252682,0.10111311883484403,5.01122724897187,5.407583391533495
2024-03-22,5.209405320252682,0.10254432994517118,5.008422126741355,5.41038851376401
2024-03-25,5.209405320252682,0.10395583873596986,5.005655620347528,5.413155020157837
2024-03-26,5.209405320252682,0.10534843715354211,5.0029261776041585,5.415884462901206
2024-03-27,5.209405320252682,0.10672286546981698,5.0002323476049275,5.418578292900437
2024-03-28,5.209405320252682,0.10807981688309568,4.997572771706131,5.421237868799234
2024-04-01,5.209405320252682,0.10941994160516781,4.994946175516078,5.423864464989287
2024-04-02,5.209405320252682,0.11074385050319126,4.99235136175714,5.426459278748225
2024-04-03,5.209405320252682,0.11205211835421951,4.989787203886992,5.4290234366183725
2024-04-04,5.209405320252682,0.11334528676157142,4.987252640382638,5.431558000122727
2024-04-05,5.209405320252682,0.11462386677502072,4.984746669604925,5.43406397090044
2024-04-08,5.209405320252682,0.11588834125075972,4.982268345173106,5.436542295332259
2024-04-09,5.209405320252682,0.11713916698204482,4.979816771788851,5.438993868716514
2024-04-10,5.209405320252682,0.11837677662718402,4.977391101457459,5.441419539047906
2024-04-11,5.209405320252682,0.11960158045793985,4.974990530061051,5.443820110444314
2024-04-12,5.209405320252682,0.1208139679483788,4.972614294244483,5.446196346260882
2024-04-15,5.209405320252682,0.12201430922161033,4.970261668579793,5.448548971925572
2024-04-16,5.209405320252682,0.12320295636964879,4.9679319629793115,5.450878677526053
2024-04-17,5.209405320252682,0.12438024465973857,4.965624520331314,5.453186120174051
2024-04-18,5.209405320252682,0.1255464936388558,4.963338714335238,5.4554719261701266
2024-04-19,5.209405320252682,0.1267020081466987,4.961073947516253,5.457736692989112
2024-04-22,5.209405320252682,0.12784707924626573,4.9588296494013635,5.459980991104001
2024-04-23,5.209405320252682,0.12898198508007153,4.95660527484126,5.462205365664105
2024-04-24,5.209405320252682,0.13010699165913658,4.954400302463921,5.464410338041444
2024-04-25,5.209405320252682,0.13122235359109163,4.952214233247562,5.466596407257803
2024-04-26,5.209405320252682,0.13232831475304263,4.950046589201839,5.468764051303526
2024-04-29,5.209405320252682,0.13342510891423384,4.94789691214745,5.470913728357915
2024-04-30,5.209405320252682,0.13451296031301224,4.945764762585313,5.473045877920052
2024-05-01,5.209405320252682,0.13559208419212695,4.943649718647391,5.475160921857974
2024-05-02,5.209405320252682,0.13666268729598322,4.941551375122096,5.477259265383269
2024-05-03,5.209405320252682,0.13772496833310413,4.939469342547879,5.479341297957486
2024-05-06,5.209405320252682,0.13877911840673068,4.9374032463692705,5.481407394136094
2024-05-07,5.209405320252682,0.13982532141620208,4.935352726150189,5.483457914355176
2024-05-08,5.209405320252682,0.14086375443150398,4.93331743483984,5.485493205665525
