,Open,High,Low,Close,Volume,Dividends,Stock Splits,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_20,rolling_std_20
2010-02-01,5.7749686552281725,5.8839417473211935,5.74284720292578,5.845816135406494,749876400,0.0,0.0,6.003422260284424,0.20618942140900953,6.110774421691895,0.22501901420373588,6.216145277023315,0.19621882472153446
2010-02-02,5.881241679262661,5.8935498085922395,5.805290645295953,5.879740238189697,698342400,0.0,0.0,5.94290189743042,0.18373056969474175,6.053195905685425,0.19918520522637223,6.188902115821838,0.20344460708137188
2010-02-03,5.859026721229602,6.010028176290331,5.836511516441721,5.980908393859863,615328000,0.0,0.0,5.890966987609863,0.09269844061896666,6.015670680999756,0.16879611062067332,6.166161847114563,0.1997903447384981
2010-02-04,5.9058585071499525,5.955091834178497,5.750955134874931,5.765365123748779,757652000,0.0,0.0,5.8474983215332035,0.08983834154477513,5.967578649520874,0.16423912557434436,6.137762904167175,0.21459455074214662
2010-02-05,5.782775572214502,5.883943283219549,5.729339339339847,5.867732048034668,850306800,0.0,0.0,5.8679123878479,0.07731787258936387,5.960704135894775,0.16709939378773714,6.115067672729492,0.21809838815034224
2010-02-08,5.874635531155502,5.940379473765587,5.823901185519468,5.827503681182861,478270800,0.0,0.0,5.864249897003174,0.07904075482532529,5.9338360786437985,0.1644750708738385,6.088259625434875,0.21888357959270832
2010-02-09,5.8965499590759025,5.928971618684699,5.846416429790847,5.889645576477051,632886800,0.0,0.0,5.8662309646606445,0.07964786628337313,5.904566431045533,0.13948273457667065,6.067365598678589,0.2167862090554684
2010-02-10,5.8806391313211535,5.901954299019707,5.831706833123664,5.8575239181518555,370361600,0.0,0.0,5.841554069519043,0.04810219469003658,5.866260528564453,0.07433511155898709,6.048452830314636,0.21781757857064324
2010-02-11,5.850319567453347,5.996517655324463,5.825702912540377,5.964095592498779,550345600,0.0,0.0,5.881300163269043,0.051400861108260636,5.864399242401123,0.07126501073738445,6.030470752716065,0.20854294531971115
2010-02-12,5.947284436592967,6.053255856972336,5.868932152327783,6.015430450439453,655468800,0.0,0.0,5.91083984375,0.07747914342179622,5.88937611579895,0.07639895325348975,6.016886591911316,0.19960264181800233
2010-02-16,6.062262404487202,6.114797608407144,6.04965406777372,6.1060919761657715,543737600,0.0,0.0,5.966557502746582,0.09958446447952297,5.915403699874878,0.10045736599202681,6.013089060783386,0.19700063410718008
2010-02-17,6.129807022476294,6.133409518567146,6.029839760013951,6.0805745124816895,436396800,0.0,0.0,6.00474328994751,0.09932512855310906,5.935487127304077,0.11195297410732975,5.994341516494751,0.16845282208085297
2010-02-18,6.0529547721156876,6.120800977929426,6.031640805915979,6.091981410980225,422825200,0.0,0.0,6.051634788513184,0.06001001539140173,5.9465944290161135,0.12201769614729573,5.981132555007934,0.14766278245850445
2010-02-19,6.059861133737881,6.100087808120595,6.037345531041181,6.05415678024292,415469600,0.0,0.0,6.069647026062012,0.03579753442963839,5.9754735946655275,0.107693185477973,5.9715261220932,0.13523127633886542
2010-02-22,6.074269781958263,6.079072708981117,5.979706269273444,6.01663064956665,390563600,0.0,0.0,6.0698870658874515,0.035344253047125275,5.990363454818725,0.10124172543935701,5.975533795356751,0.1353255772616258
2010-02-23,6.004023010103161,6.043949875728417,5.87523697411814,5.915763854980469,575094800,0.0,0.0,6.031821441650391,0.07105468802807532,5.999189472198486,0.08851352145850527,5.966512775421142,0.1328504426284658
2010-02-24,5.9508877378017075,6.0472525151801415,5.939179624169119,6.023837089538574,460566400,0.0,0.0,6.020473957061768,0.06564704047744098,6.012608623504638,0.079804410252544,5.9585875272750854,0.12371086218392553
2010-02-25,5.925371111060244,6.08988111696725,5.910661317187328,6.064064025878906,665126000,0.0,0.0,6.014890480041504,0.058883439414640755,6.033262634277344,0.05930074578035239,5.949761581420899,0.10780809019247153
2010-02-26,6.075469521643217,6.1592255371677584,6.064062020146111,6.142714500427246,507460800,0.0,0.0,6.032602024078369,0.08230686733864992,6.051124525070191,0.06294121239457892,5.957761883735657,0.11600688221351069
