,0
2024-02-01,5.209977738684378
2024-02-02,5.210407618615955
2024-02-05,5.210959514642063
2024-02-06,5.211502578949364
2024-02-07,5.212046363572224
2024-02-08,5.212589931296952
2024-02-09,5.213133360604335
2024-02-12,5.2136766444009925
2024-02-13,5.21421978334617
2024-02-14,5.214762777423255
2024-02-15,5.215305626675745
2024-02-16,5.215848331141837
2024-02-20,5.216390890860186
2024-02-21,5.216933305869395
2024-02-22,5.217475576208059
2024-02-23,5.218017701914768
2024-02-26,5.218559683028094
2024-02-27,5.2191015195866015
2024-02-28,5.219643211628849
2024-02-29,5.22018475919338
2024-03-01,5.220726162318728
2024-03-04,5.221267421043416
2024-03-05,5.221808535405961
2024-03-06,5.222349505444864
2024-03-07,5.22289033119862
2024-03-08,5.223431012705712
2024-03-11,5.223971550004611
2024-03-12,5.224511943133782
2024-03-13,5.225052192131676
2024-03-14,5.2255922970367354
2024-03-15,5.226132257887393
2024-03-18,5.226672074722069
2024-03-19,5.227211747579176
2024-03-20,5.227751276497113
2024-03-21,5.228290661514272
2024-03-22,5.228829902669034
2024-03-25,5.2293689999997675
2024-03-26,5.229907953544835
2024-03-27,5.230446763342584
2024-03-28,5.230985429431357
2024-04-01,5.23152395184948
2024-04-02,5.2320623306352765
2024-04-03,5.2326005658270525
2024-04-04,5.233138657463108
2024-04-05,5.23367660558173
2024-04-08,5.234214410221197
2024-04-09,5.234752071419779
2024-04-10,5.235289589215732
2024-04-11,5.235826963647305
2024-04-12,5.236364194752737
2024-04-15,5.236901282570251
2024-04-16,5.2374382271380675
2024-04-17,5.237975028494391
2024-04-18,5.2385116866774215
2024-04-19,5.239048201725343
2024-04-22,5.239584573676332
2024-04-23,5.240120802568557
2024-04-24,5.240656888440171
2024-04-25,5.24119283132932
2024-04-26,5.2417286312741425
2024-04-29,5.242264288312763
2024-04-30,5.242799802483294
2024-05-01,5.243335173823844
2024-05-02,5.243870402372506
2024-05-03,5.244405488167365
2024-05-06,5.244940431246496
2024-05-07,5.245475231647964
2024-05-08,5.246009889409823
2024-05-09,5.246544404570118
2024-05-10,5.247078777166882
2024-05-13,5.24761300723814
2024-05-14,5.2481470948219044
2024-05-15,5.24868103995618
2024-05-16,5.24921484267896
2024-05-17,5.249748503028227
2024-05-20,5.250282021041956
2024-05-21,5.250815396758107
2024-05-22,5.251348630214634
2024-05-23,5.251881721449482
2024-05-24,5.252414670500583
2024-05-28,5.2529474774058595
2024-05-29,5.253480142203223
2024-05-30,5.254012664930576
2024-05-31,5.254545045625811
2024-06-03,5.255077284326811
2024-06-04,5.255609381071446
2024-06-05,5.256141335897581
2024-06-06,5.256673148843067
2024-06-07,5.257204819945745
2024-06-10,5.257736349243446
2024-06-11,5.258267736773993
2024-06-12,5.258798982575197
2024-06-13,5.259330086684859
2024-06-14,5.2598610491407705
2024-06-17,5.2603918699807135
2024-06-18,5.2609225492424585
2024-06-20,5.2614530869637655
2024-06-21,5.261983483182387
2024-06-24,5.2625137379360645
2024-06-25,5.263043851262529
2024-06-26,5.263573823199499
2024-06-27,5.264103653784687
2024-06-28,5.264633343055795
2024-07-01,5.265162891050512
2024-07-02,5.265692297806519
2024-07-03,5.266221563361485
2024-07-05,5.266750687753072
2024-07-08,5.267279671018931
2024-07-09,5.267808513196702
2024-07-10,5.268337214324015
2024-07-11,5.26886577443849
2024-07-12,5.269394193577739
2024-07-15,5.269922471779362
2024-07-16,5.270450609080948
2024-07-17,5.270978605520076
2024-07-18,5.271506461134319
2024-07-19,5.272034175961236
2024-07-22,5.272561750038378
2024-07-23,5.2730891834032825
2024-07-24,5.273616476093483
2024-07-25,5.274143628146499
2024-07-26,5.274670639599838
2024-07-29,5.275197510491003
2024-07-30,5.275724240857484
2024-07-31,5.276250830736759
2024-08-01,5.2767772801663
2024-08-02,5.277303589183566
2024-08-05,5.277829757826007
2024-08-06,5.278355786131064
2024-08-07,5.2788816741361675
2024-08-08,5.279407421878737
2024-08-09,5.279933029396183
2024-08-12,5.280458496725906
2024-08-13,5.280983823905295
2024-08-14,5.281509010971732
2024-08-15,5.282034057962585
2024-08-16,5.282558964915218
2024-08-19,5.283083731866979
2024-08-20,5.283608358855208
2024-08-21,5.284132845917236
2024-08-22,5.284657193090384
2024-08-23,5.285181400411961
2024-08-26,5.28570546791927
2024-08-27,5.286229395649599
2024-08-28,5.286753183640231
2024-08-29,5.287276831928436
2024-08-30,5.287800340551474
2024-09-03,5.288323709546596
2024-09-04,5.288846938951043
2024-09-05,5.289370028802047
2024-09-06,5.2898929791368285
2024-09-09,5.290415789992599
2024-09-10,5.29093846140656
2024-09-11,5.291460993415901
2024-09-12,5.291983386057806
2024-09-13,5.292505639369445
2024-09-16,5.293027753387978
2024-09-17,5.293549728150559
2024-09-18,5.294071563694329
2024-09-19,5.29459326005642
2024-09-20,5.295114817273953
2024-09-23,5.295636235384041
2024-09-24,5.296157514423786
2024-09-25,5.296678654430281
2024-09-26,5.297199655440606
2024-09-27,5.297720517491836
2024-09-30,5.2982412406210315
2024-10-01,5.298761824865247
2024-10-02,5.299282270261525
2024-10-03,5.299802576846897
2024-10-04,5.300322744658386
2024-10-07,5.300842773733008
2024-10-08,5.301362664107764
2024-10-09,5.301882415819646
2024-10-10,5.302402028905641
2024-10-11,5.30292150340272
2024-10-14,5.303440839347848
2024-10-15,5.30396003677798
2024-10-16,5.304479095730057
2024-10-17,5.304998016241017
2024-10-18,5.305516798347782
2024-10-21,5.306035442087266
2024-10-22,5.306553947496376
2024-10-23,5.307072314612004
2024-10-24,5.307590543471038
2024-10-25,5.3081086341103525
2024-10-28,5.308626586566811
2024-10-29,5.309144400877271
2024-10-30,5.309662077078576
2024-10-31,5.310179615207565
2024-11-01,5.310697015301061
2024-11-04,5.311214277395884
2024-11-05,5.311731401528837
2024-11-06,5.312248387736718
2024-11-07,5.312765236056313
2024-11-08,5.313281946524398
2024-11-11,5.313798519177743
2024-11-12,5.314314954053103
2024-11-13,5.3148312511872255
2024-11-14,5.31534741061685
2024-11-15,5.315863432378702
2024-11-18,5.316379316509503
2024-11-19,5.316895063045958
2024-11-20,5.317410672024769
2024-11-21,5.317926143482621
2024-11-22,5.318441477456195
2024-11-25,5.318956673982161
2024-11-26,5.319471733097176
2024-11-27,5.3199866548378925
2024-11-29,5.320501439240948
2024-12-02,5.321016086342974
2024-12-03,5.32153059618059
2024-12-04,5.322044968790408
2024-12-05,5.322559204209027
2024-12-06,5.323073302473038
2024-12-09,5.323587263619023
2024-12-10,5.324101087683555
2024-12-11,5.324614774703194
2024-12-12,5.325128324714491
2024-12-13,5.32564173775399
2024-12-16,5.326155013858225
2024-12-17,5.326668153063714
2024-12-18,5.327181155406974
2024-12-19,5.327694020924508
2024-12-20,5.328206749652809
2024-12-23,5.328719341628359
2024-12-24,5.329231796887633
2024-12-26,5.329744115467097
2024-12-27,5.330256297403205
2024-12-30,5.3307683427324015
